Start,Peak,End,Duration,LOCAbsValPeak,ROCAbsValPeak,LOCAbsRiseSlope,ROCAbsRiseSlope,LOCAbsFallSlope,ROCAbsFallSlope,Stage
8167.375,8167.515625,8167.9296875,0.5546875,252.34049864913365,330.55226603236645,1942.0685099101092,2280.273059415529,795.3277695249035,556.2444272272814,W
8167.375,8167.7578125,8167.9296875,0.5546875,211.9201740322608,387.3374454772445,607.8251352535152,985.9881232331411,1680.8441015390983,1670.4298914541048,W
8167.9375,8168.1484375,8168.59375,0.65625,355.763213165476,241.28838559041498,1246.9508499747865,1536.7600827490435,1049.4895247407376,537.0504172875206,W
8167.9375,8168.4375,8168.59375,0.65625,379.4786535557815,203.33170893958757,573.488270613724,572.4073066080979,3142.8239640090574,1287.6709587041382,W
8167.9375,8168.546875,8168.59375,0.65625,379.70704955690434,65.87928263845184,775.2887266557109,27.885393601656663,5719.881786373772,1450.931291317713,W
8168.6015625,8168.6328125,8168.7890625,0.1875,379.5355530075499,134.1509254955279,12588.624596202133,3384.8083078638833,2235.500037621887,819.6060588508117,W
8168.6015625,8168.7421875,8168.7890625,0.1875,417.1701528363045,114.33173511306454,3065.09595349384,611.2431590277902,8254.538255086389,2309.210801343487,W
8168.796875,8168.84375,8168.875,0.078125,71.92837000367247,23.650797276190616,1208.1288542810225,370.52412106153207,1925.0208722789994,482.53357581916026,W
8168.8828125,8169.1015625,8169.5390625,0.65625,154.57638583032642,21.703584682203054,666.6136165884169,115.4634150835084,321.8513966112499,49.0155450842437,W
8169.5703125,8169.6640625,8169.8828125,0.3125,394.8867073807757,16.115285777574858,4306.046888358724,177.35640944753803,2825.3504825452624,211.23934119775086,W
8169.5703125,8169.75,8169.8828125,0.3125,524.8995061689471,12.950201430847773,2872.17707278521,69.22197605685393,2271.9306954763047,129.0775994622898,W
8169.5703125,8169.875,8169.8828125,0.3125,437.13887685120886,36.68541043760249,1405.8131313176755,118.72338979928831,27389.461270426676,843.787562005677,W
8169.890625,8169.90625,8170.5,0.609375,432.14617626676187,5.638001145174787,26257.345587370844,1025.4071065664707,808.7638916875529,24.95518133340976,W
8169.890625,8170.0078125,8170.5,0.609375,534.4294860751369,11.333865166671153,4373.796988680913,281.54754006994807,1183.4653876781908,4.377858834557751,W
8169.890625,8170.1015625,8170.5,0.609375,554.2431653833366,39.782585847607045,2731.227576165589,85.91454180660695,1270.4270580972272,122.88432594608767,W
8170.5078125,8170.6484375,8170.7578125,0.25,418.4289317831242,62.096576732453585,3097.4836267822593,339.0480452670897,3026.2390214817997,675.8626825237185,W
8170.765625,8170.8671875,8171.2109375,0.4453125,490.9401407328437,97.27804684536119,5296.362317189093,765.2174766236695,1313.595504970358,274.6244467094823,W
8170.765625,8171.015625,8171.2109375,0.4453125,520.1714726009518,71.88678475372092,2268.5725188305014,209.30455151180468,2461.592507912543,353.3357642994907,W
8171.21875,8171.9765625,8172.25,1.03125,398.34782192293704,123.63544898872154,477.28125655249806,158.87907278091146,1205.9197543502432,611.016976938362,W
8172.2578125,8172.3359375,8172.4296875,0.171875,100.4313982909027,124.43341143499278,1841.8139644122075,888.3042446697898,1597.4782565761623,600.2954467713562,W
8172.4375,8172.6015625,8174.6875,2.25,306.6663551864856,91.0372991689745,1474.1350966214259,926.6420664561401,134.99121174835446,39.252183083938974,W
8175.6796875,8176.0859375,8176.5234375,0.84375,457.45136940299784,139.2988945375982,1067.5332884464672,397.250671615389,882.2699855068813,418.7552371389937,W
8175.6796875,8176.265625,8176.5234375,0.84375,473.0313117106822,126.18641050824297,766.7461815279985,253.04849290990347,1557.6167213263318,659.7544037583691,W
8176.53125,8176.7109375,8177.0078125,0.4765625,184.42707240245983,133.11775455963075,1332.341757347849,460.09465344394124,685.1767735921551,354.31010128392955,W
8177.015625,8177.6953125,8178.0,0.984375,480.41103726898416,60.179974471429375,664.9741798657201,123.25468195692604,1881.5180385714123,382.03995373705413,W
8177.015625,8177.8203125,8178.0,0.984375,448.23901363243635,32.78324978625513,521.6964526489274,70.0619084519443,3011.3558469046498,495.3381493931655,W
8177.015625,8177.875,8178.0,0.984375,524.4450334214226,31.449324061469586,643.3529400004949,9.139935290531833,3452.6483465054375,198.18799897087766,W
8177.015625,8177.984375,8178.0,0.984375,418.1705635269376,90.70291746756429,461.01363914161567,69.27300675756955,20819.620698796458,2206.72598622304,W
8178.0078125,8178.03125,8178.203125,0.1953125,506.23652006370634,21.761206069286313,18792.244633325954,2712.5537666401246,2425.280739691474,97.85636108735643,W
8178.0078125,8178.1796875,8178.203125,0.1953125,449.3566656067872,80.66317257305228,2231.6414786132823,712.5960460182916,15358.518300908929,3230.763885467962,W
8178.2109375,8178.265625,8178.34375,0.1328125,429.95127248161583,107.16691609896674,7914.053416553029,1727.200274408134,5067.777452096955,1102.0582404471736,W
8178.3515625,8178.5390625,8178.8828125,0.53125,178.2690544496446,28.026546275537,858.503129431152,203.3237057311311,494.8371367788177,91.01113881210978,W
8178.890625,8179.296875,8179.515625,0.625,490.43727974516963,108.09755007283078,1209.4145657201166,253.9366873728863,1310.480177381767,679.5683708746825,W
